Tempo Execução (s),Nº Pontos,Volume Topo,Volume Face,Volume Final
1.65,526,0.008475,0.007766,0.008120
1.76,606,0.009461,0.008006,0.008734
1.87,691,0.016308,0.009966,0.013137
1.99,814,0.025131,0.014887,0.020009
2.11,903,0.027364,0.016659,0.022011
2.24,997,0.033800,0.017893,0.025846
2.37,1066,0.033672,0.019577,0.026625
2.52,1188,0.032762,0.026137,0.029449
2.67,1279,0.036072,0.027939,0.032005
2.83,1425,0.045967,0.034521,0.040244
3.01,1508,0.046049,0.039854,0.042951
3.20,1613,0.050635,0.044744,0.047689
3.39,1727,0.052320,0.048072,0.050196
3.59,1801,0.052064,0.049700,0.050882
3.80,1873,0.052324,0.051112,0.051718
4.02,1943,0.055652,0.052244,0.053948
4.23,2049,0.054010,0.055635,0.054822
4.44,2139,0.053765,0.056540,0.055152
4.67,2210,0.054264,0.057852,0.056058
4.91,2280,0.054468,0.058692,0.056580
5.13,2335,0.054335,0.059276,0.056806
5.37,2446,0.060180,0.061603,0.060892
5.62,2544,0.059480,0.063958,0.061719
5.88,2614,0.058983,0.065026,0.062004
6.15,2699,0.059568,0.065757,0.062662
6.42,2763,0.059416,0.066408,0.062912
6.69,2829,0.059538,0.067056,0.063297
6.98,2917,0.059806,0.072445,0.066126
7.26,2983,0.060913,0.070765,0.065839
7.56,3053,0.060861,0.071315,0.066088
7.86,3115,0.060777,0.071482,0.066129
8.17,3185,0.061337,0.072344,0.066841
8.54,3265,0.060886,0.072238,0.066562
8.86,3336,0.061214,0.072481,0.066847
9.19,3390,0.061224,0.072514,0.066869
9.54,3456,0.061113,0.072666,0.066890

